STDM_TAZ,State,County,MPO,IsMPO,ITDDist,Area,DayPark,HourPark,AgforF,MiningF,UtilF,ConstrF,ManufF,WhlsaleF,RetailF,TrawhseF,InfoF,FininsF,EduK12,EduHigh,EduOthers,RealestF,ProftechF,MgmtF,WastadmnF,HealthF,ArtsentF,FoodlodgF,OtherF,PublicF,TotEmp,STATEFPS,COUNTYFPS,CNTYIDFP00,TOTPOP_T,TOTHH_T,HHSIZE1,HHSIZE2,HHSIZE3,HHSIZE4,HHSIZE5,HHSIZE6,HHSIZE7,HHWORK0,HHWORK1,HHWORK2,HHWORK3,CATINC1,CATINC2,CATINC3,HHSIZE1_O,HHWORK0_O,HHINC1,HHINC2,HHINC3,HHINC4,HHINC5,HHINC6,HHINC7,HHINC8,HHINC9,HHINC10,HHINC11,HHINC12,HHINC13,HHINC14,HHINC15,HHINC16,ShadowPrice,destinationChoiceDistrict
35,Idaho,Ada,COMPASS,1,3,23914.11417,0,0,0,0,0,0,0,3,38,0,17,36,0,0,0,6,48,0,0,14,1,94,2,2,261,16,1,16001,17,12,7,5,0,0,0,0,0,4,7,1,0,6,4,2,7,4,2,2,1,0,1,1,1,1,0,1,0,0,1,0,0,0,1,3
36,Idaho,Ada,COMPASS,1,3,24416.84476,0,0,0,0,0,0,0,6,0,0,1,1,0,0,0,0,10,0,3,1,52,105,8,61,248,16,1,16001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
37,Idaho,Ada,COMPASS,1,3,25299.42863,0,0,0,0,0,1,78,7,0,8,719,4,0,0,0,2,25,263,11,1,0,94,0,4,1217,16,1,16001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
38,Idaho,Ada,COMPASS,1,3,23944.78914,0,0,0,0,0,0,0,1,35,0,1,15,0,0,0,0,59,615,6,1,0,32,3,1,769,16,1,16001,15,11,7,4,0,0,0,0,0,4,6,1,0,6,4,1,7,4,2,2,1,0,1,1,1,1,0,1,0,0,1,0,0,0,1,3
39,Idaho,Ada,COMPASS,1,3,23858.43665,0,0,0,0,0,0,0,15,22,0,19,119,0,0,5,8,125,27,13,0,5,142,88,14,602,16,1,16001,69,52,35,16,1,0,0,0,0,18,28,6,0,28,16,8,35,17,8,10,5,2,3,6,4,3,0,3,1,2,3,0,0,1,1,3
40,Idaho,Ada,COMPASS,1,3,24409.14941,0,0,0,0,0,0,0,1,22,0,0,0,0,0,0,0,10,0,0,0,0,21,0,0,54,16,1,16001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
41,Idaho,Ada,COMPASS,1,3,24320.14435,0,0,0,0,0,0,0,0,0,0,57,0,0,0,1,0,0,0,0,0,0,0,0,0,58,16,1,16001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
42,Idaho,Ada,COMPASS,1,3,23826.33853,0,0,0,0,0,0,3,61,28,0,0,1,0,0,0,0,5,0,0,0,5,0,12,0,115,16,1,16001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
43,Idaho,Ada,COMPASS,1,3,22959.59511,0,0,0,0,4,3,0,32,30,1,2,0,0,0,0,0,15,0,5,37,0,8,1,0,138,16,1,16001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
44,Idaho,Ada,COMPASS,1,3,47947.89271,0,0,0,0,1,0,0,56,0,2,6,363,0,0,3,10,423,126,318,84,78,276,37,4,1787,16,1,16001,18,10,4,5,0,1,0,0,0,4,5,1,0,6,3,1,4,3,2,2,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,3
