STDM_TAZ,Area
348,4263911.81
349,3236907.41
350,3228766.28
351,3204988.5
352,2645859.42
353,1491088.19
354,777317.04
355,1513445.02
356,858901.23
357,2597148.46
358,2352473.12
359,1442049.46
360,3887508.65
361,4557829.16
362,1954049.74
363,3186030.8
364,8754215.43
365,7017931.06
366,1818289.25
367,2632659.24
368,2633259.66
369,2594847.08
370,5442311.49
371,5442311.49
372,4897217.98
373,4897217.98
374,3187453.64
375,2623924.6
376,815556.09
377,1820765.38
378,1183024.61
379,1224677.21
380,2575901.88
381,1499372.32
382,616513.63
383,175110.88
384,1085835.84
385,679701.2
386,547369.49
387,1815430.23
388,1788655.84
389,815021.98
390,791202.72
391,3896862.57
392,2352270.34
393,2025849.45
394,1322331.06
395,664293.33
396,1917804.18
397,582168.66
398,1851725.42
399,1266359.31
400,2639442.64
401,2639127.13
402,2513984.88
403,625211.04
404,2582022.77
405,6877024.18
406,15633708.15
407,15633708.15
408,15633708.15
409,15633708.15
410,15633708.15
411,15633708.15
412,2616468.04
413,2519604.98
414,5238488.53
415,2618106.13
416,2625446.31
417,2607653.32
418,2614024.4
419,2538635.99
420,2622318.05
421,2586511.37
422,2598487
423,2288262.35
424,36470946.58
425,15684658.67
426,7688608.01
427,2601906.59
428,7838642.66
429,7819339.51
430,2557468.83
431,1166712.69
432,2566215.97
433,6467566.75
434,14200350.14
435,2588609.3
436,2606358.97
437,2710217.49
438,7809598.67
439,2597492.16
440,56036066.6
441,1189783.82
442,347009.72
443,1057920.78
444,230335.31
445,6791231.01
446,923584.97
447,1442731.95
448,1235704.62
449,487267.06
450,630261.41
451,758810.88
452,1283675.68
453,750272.61
454,2586424.5
455,2569633.61
456,2575998.93
457,2636051.59
458,2488200.48
459,2491817.83
460,2637295.2
461,478874.73
462,334705.49
463,2578236.18
464,8092450.29
465,8478546.65
466,1957630.09
467,1056736.54
468,1815656.34
469,35667119.76
470,14320286.33
471,1708478.04
472,739697.59
473,5084988.16
474,2249515.09
475,4808964.21
476,2655994.68
477,655136295.3
478,54987.73
479,888572.3
480,108685832.4
481,573595328
482,159859001.9
483,34228551.97
484,13293272.2
485,9328852.13
486,28745344.2
487,14449966.54
488,38477440.55
489,6530896.43
490,36892516.62
491,33908069.14
492,7694523.94
493,19005771.46
494,28875472.25
495,83451027.8
496,83451027.8
497,28203418.13
498,17451080.13
499,13693492.04
500,13926018.85
501,14542225.66
502,1769144.55
503,11654376.3
504,2608040.69
505,2632931.27
506,2580680.86
507,2561134.72
508,3078796.91
509,2773756.08
510,31558449.57
511,31558449.57
512,31558449.57
513,11203995.48
514,41657978.24
515,7937260.68
516,15541156.84
517,7343510.69
518,4476230.2
519,3145016.85
520,2900814.32
521,14243614.48
522,6127820.27
523,2563713.43
524,19248460.22
525,3020132.87
526,1704338.43
527,1747774.75
528,779180.87
529,2687703.36
530,4229099
531,929613.49
532,701394.73
533,7203599.72
534,974483.91
535,280307.9
536,324904.51
537,638948.79
538,486826.98
539,608704.3
540,238029.68
541,278896.34
542,1954763.55
543,325597.89
544,158759.9
545,649132.99
546,95613.35
547,742208.41
548,821806.22
549,647091.5
550,153598.62
551,119938.09
552,986046.41
553,1037735.28
554,5413962.11
555,18614607.03
556,18614607.03
557,18614607.03
558,18614607.03
559,1953362.97
560,651148.25
561,1298812.96
562,1299383.98
563,2272522.49
564,1609954.48
565,3887683.19
566,2671936.62
567,1321167
568,3956467.48
569,2182303.9
570,866804.87
571,1022000.86
572,1119699.04
573,1187652.63
574,15638070.62
575,15638070.62
576,10464763.02
577,40958031.72
578,3929838.31
579,18908386.93
580,24074721.16
581,19546724.08
582,8993096.3
583,4155228.44
584,36788177.78
585,1282670.84
586,2615200.56
587,2594006.34
588,2612020.46
589,2607891.11
590,1219352.07
591,1412123.69
592,3401777.68
593,5755944.1
594,2603133.21
595,2617482.3
596,2620040.29
597,2555613.37
598,2064020.31
599,2611455.18
600,2312727.21
601,1615577.78
602,1627848.38
603,1206935.39
604,5158961.29
605,1306241.32
606,1221407
607,2519831.1
608,920913.97
609,902049.11
610,1387730.57
611,853057.86
612,2297115.69
613,2062587.99
614,2611343.8
615,1867060.95
616,497546.28
617,498163.24
618,214686.38
619,424746.6
620,672986.39
621,383683.27
622,858567.43
623,978365.51
624,1940132.51
625,1904922.4
626,1942019.45
627,3853057.22
628,1305423.16
629,771211.1
630,1181033.26
631,3536964.05
632,2523964.23
633,2629740.65
634,2584503.74
635,1079368.96
636,2589650.9
637,8714181.13
638,2726952.96
639,2706541.15
640,5316197.16
641,33873464.94
642,3413585.75
643,2596089.27
644,2602043.58
645,2612260.69
646,58888736.63
647,2616476.9
648,8770645.47
649,10414929.98
650,40718526.78
651,32195513.92
652,13290624.2
653,22627726.48
654,15596577.94
655,7798963.86
656,15531323.28
657,74694344.6
658,54773630.3
659,39127785.23
660,15663472.55
661,61710772.77
662,1457446.21
663,2196627.87
664,932147.35
665,649130.8
666,1300492.67
667,1163531.44
668,1991871.72
669,953936.7
670,644211.73
671,267053.69
672,384829.1
673,731707.47
674,1290251.47
675,1600211.8
676,2717835.64
677,3744277.69
678,826284.48
679,1007906.92
680,7397571.27
681,2147743.77
682,1474523.58
683,2263054.68
684,2387548.39
685,539453.85
686,214517.6
687,315050.56
688,158059.74
689,488426.28
690,515344.06
691,1531365.41
692,463728.92
693,1322817.32
694,1305493.83
695,18157.38
696,251699.87
697,736531.62
698,509517.76
699,328961.92
700,362482.47
701,472573.95
702,711641.77
703,479152.91
704,441328.71
705,347358.38
706,206428.52
707,212140.73
708,308938.1
709,437273.83
710,187620.48
711,142294.07
712,631269.48
713,614966.24
714,587893.61
715,678986.21
716,271980.68
717,2585765.72
718,160519.24
719,385479.72
720,200222.99
721,93105.27
722,362372.44
723,236147.15
724,83064.61
725,159665.85
726,146583.69
727,295217.62
728,198245.02
729,256176.09
730,682419.83
731,236311.03
732,283552.63
733,175084.96
734,207921.43
735,193642.67
736,303899.09
737,740468.99
738,965780.2
739,318929.78
740,858442.24
741,282562.1
742,547199.12
743,217194.58
744,623610.75
745,354413.67
746,840676.03
747,1307501.65
748,2591348.19
749,956339.08
750,445233.55
751,3420667.81
752,372681.26
753,6803773.41
754,2600119.55
755,2605981.87
756,7280699.45
757,2570997.73
758,3667501.74
759,1314106.73
760,1291674.87
761,776629.03
762,368333.4
763,233674.13
764,599055.8
765,408537.41
766,1173701.02
767,84526.57
768,148076.46
769,1296223.03
770,650921.54
771,196897.67
772,139097.36
773,146373.4
774,169805
775,310899.62
776,485690.58
777,489966.42
778,408628.41
779,2028831.31
780,2614722.15
781,3881725.44
782,69738.01
783,169247.91
784,2228105.05
785,2994733.24
786,1290832.31
787,823438.14
788,2409600.59
789,113115.18
790,363228.18
791,278377.69
792,3530575.57
793,120587.16
794,232974.41
795,84708.79
796,263032.16
797,224742.41
798,166921.04
799,155645.73
800,620749.87
801,149152.55
802,628581.01
803,1259308.45
804,4458631.79
805,2609740.45
806,1570606.36
807,3178643.31
808,6493225.38
809,3199837.47
810,1526547.93
811,2587304.3
812,1657915.12
813,158809.79
814,2146996.04
815,2492770.84
816,88176013.92
817,5494345.41
818,10428570.67
819,46951064.32
820,5205808.89
821,5123585.29
822,1274174.75
823,2385766.19
824,22568110.3
825,26283592.13
826,3272783.6
827,2709776.36
828,1297482.34
829,3839750.37
830,2603714.14
831,2947799.1
832,1344433.33
833,2155600.06
834,2338958.85
835,1869139.8
836,2607120.27
837,2775151.6
838,2666087.05
839,1001578.27
840,955378.61
841,567727.75
842,608980.76
843,413522.34
844,2132007.32
845,3057910.2
846,811753.9
847,1647067.8
848,3227404.82
849,1130276.24
850,1122635.96
851,330911.42
852,674959.21
853,121318.1
854,2600356.58
855,2544513.44
856,2569775.57
857,2835903.72
858,2210964.15
859,241707.94
860,255230.38
861,639720.69
862,2560251.65
863,1210379.41
864,3504278.96
865,1550295.09
