occpCode,occupLevel,catOccp,work_occ 
4900,C4-Sales Clerical Unskilled,7,3
4920,C1-Sales Clerical Professionals,2,3
4930,C1-Sales Clerical Professionals,2,3
4940,C4-Sales Clerical Unskilled,7,5
4950,C4-Sales Clerical Unskilled,7,5
4960,C1-Sales Clerical Professionals,2,5
4965,C1-Sales Clerical Professionals,2,5
5000,C1-Sales Clerical Professionals,2,2
5010,C3-Clerical,7,5
5020,C3-Clerical,7,5
5030,C3-Clerical,7,5
5100,C3-Clerical,7,5
5110,C3-Clerical,7,5
5120,C3-Clerical,7,5
5130,C3-Clerical,7,5
5140,C3-Clerical,7,5
5150,C1-Sales Clerical Professionals,2,5
5160,C3-Clerical,7,5
5165,C3-Clerical,7,5
5200,C1-Sales Clerical Professionals,2,5
5220,C3-Clerical,7,5
5230,C3-Clerical,7,5
5240,C3-Clerical,7,5
5250,C1-Sales Clerical Professionals,2,2
5260,C3-Clerical,7,5
5300,C3-Clerical,7,5
5310,C3-Clerical,7,5
5320,C1-Sales Clerical Professionals,2,5
5330,C3-Clerical,7,5
5340,C3-Clerical,7,5
5350,C3-Clerical,7,5
5360,C3-Clerical,7,5
5400,C3-Clerical,7,5
5410,C1-Sales Clerical Professionals,2,5
5420,C3-Clerical,7,5
5500,C3-Clerical,7,5
5510,C3-Clerical,7,5
5520,C3-Clerical,7,5
5530,C3-Clerical,7,5
5540,C3-Clerical,7,5
5550,C3-Clerical,7,5
5560,C3-Clerical,7,5
5600,C1-Sales Clerical Professionals,2,5
5610,C4-Sales Clerical Unskilled,7,5
5620,C4-Sales Clerical Unskilled,7,5
5630,C4-Sales Clerical Unskilled,7,5
5700,C3-Clerical,7,5
5800,C3-Clerical,7,5
5810,C3-Clerical,7,5
5820,C3-Clerical,7,5
5840,C3-Clerical,7,5
5850,C3-Clerical,7,5
5860,C3-Clerical,7,5
5900,C3-Clerical,7,5
5910,C1-Sales Clerical Professionals,2,2
5920,C1-Sales Clerical Professionals,2,2
5930,C1-Sales Clerical Professionals,2,2
5940,C1-Sales Clerical Professionals,2,2
6000,D4-Blue Collar Unskilled,8,1
6005,D4-Blue Collar Unskilled,8,5
6010,D1-Production Specialists,8,5
6040,D4-Blue Collar Unskilled,8,5
6050,D4-Blue Collar Unskilled,8,5
6100,D4-Blue Collar Unskilled,8,5
6120,D4-Blue Collar Unskilled,8,5
6130,D4-Blue Collar Unskilled,8,5
6200,D2-MaintConstRepair Specialists,8,5
6210,D2-MaintConstRepair Specialists,8,5
6220,D4-Blue Collar Unskilled,8,5
6230,D4-Blue Collar Unskilled,8,5
6240,D4-Blue Collar Unskilled,8,5
6250,D4-Blue Collar Unskilled,8,5
6260,D4-Blue Collar Unskilled,8,5
6300,D4-Blue Collar Unskilled,8,5
6320,D4-Blue Collar Unskilled,8,5
6330,D4-Blue Collar Unskilled,8,5
6350,D2-MaintConstRepair Specialists,8,5
6355,D2-MaintConstRepair Specialists,8,5
6360,D2-MaintConstRepair Specialists,8,5
6400,D4-Blue Collar Unskilled,8,5
6420,D4-Blue Collar Unskilled,8,5
6430,D2-MaintConstRepair Specialists,8,5
6440,D2-MaintConstRepair Specialists,8,5
6460,D4-Blue Collar Unskilled,8,5
6500,D4-Blue Collar Unskilled,8,5
6510,D4-Blue Collar Unskilled,8,5
6515,D4-Blue Collar Unskilled,8,5
6520,D2-MaintConstRepair Specialists,8,5
6530,D2-MaintConstRepair Specialists,8,5
6600,D4-Blue Collar Unskilled,8,5
6660,D2-MaintConstRepair Specialists,8,5
6700,D2-MaintConstRepair Specialists,8,5
6710,D4-Blue Collar Unskilled,8,5
6720,D2-MaintConstRepair Specialists,8,5
6730,D2-MaintConstRepair Specialists,8,5
6740,D2-MaintConstRepair Specialists,8,5
6760,D2-MaintConstRepair Specialists,8,5
6765,D2-MaintConstRepair Specialists,8,5
6800,D2-MaintConstRepair Specialists,8,5
6820,D2-MaintConstRepair Specialists,8,5
6830,D2-MaintConstRepair Specialists,8,5
6840,D2-MaintConstRepair Specialists,8,5
6940,D4-Blue Collar Unskilled,8,5
7000,D2-MaintConstRepair Specialists,8,4
7010,D2-MaintConstRepair Specialists,8,4
7020,D2-MaintConstRepair Specialists,8,4
7030,D2-MaintConstRepair Specialists,8,4
7040,D2-MaintConstRepair Specialists,8,4
7100,D2-MaintConstRepair Specialists,8,4
7110,D2-MaintConstRepair Specialists,8,4
7120,D2-MaintConstRepair Specialists,8,4
7130,D2-MaintConstRepair Specialists,8,4
7140,D2-MaintConstRepair Specialists,8,4
7150,D4-Blue Collar Unskilled,8,4
7160,D2-MaintConstRepair Specialists,8,4
7200,D2-MaintConstRepair Specialists,8,4
7210,D2-MaintConstRepair Specialists,8,4
7220,D2-MaintConstRepair Specialists,8,4
7240,D2-MaintConstRepair Specialists,8,4
7260,D4-Blue Collar Unskilled,8,4
7300,D2-MaintConstRepair Specialists,8,4
7310,D2-MaintConstRepair Specialists,8,4
7315,D2-MaintConstRepair Specialists,8,4
7320,D2-MaintConstRepair Specialists,8,4
7330,D2-MaintConstRepair Specialists,8,4
7340,D2-MaintConstRepair Specialists,8,4
7350,D2-MaintConstRepair Specialists,8,4
7360,D2-MaintConstRepair Specialists,8,4
7410,D2-MaintConstRepair Specialists,8,4
7420,D2-MaintConstRepair Specialists,8,4
7430,D2-MaintConstRepair Specialists,8,4
7510,D2-MaintConstRepair Specialists,8,4
7540,D2-MaintConstRepair Specialists,8,4
7550,D4-Blue Collar Unskilled,8,4
7560,D2-MaintConstRepair Specialists,8,4
7610,D4-Blue Collar Unskilled,8,4
7620,D2-MaintConstRepair Specialists,8,4
7630,D2-MaintConstRepair Specialists,8,4
7700,D1-Production Specialists,8,4
7710,D1-Production Specialists,8,4
7720,D1-Production Specialists,8,4
7730,D1-Production Specialists,8,4
7740,D1-Production Specialists,8,4
7750,D1-Production Specialists,8,4
7800,D4-Blue Collar Unskilled,8,4
7810,D4-Blue Collar Unskilled,8,4
7830,D4-Blue Collar Unskilled,8,4
7840,D4-Blue Collar Unskilled,8,4
7850,D4-Blue Collar Unskilled,8,4
7855,D4-Blue Collar Unskilled,8,4
7900,D1-Production Specialists,8,4
7920,D1-Production Specialists,8,4
7930,D1-Production Specialists,8,4
7940,D1-Production Specialists,8,4
7950,D1-Production Specialists,8,4
7960,D4-Blue Collar Unskilled,8,4
8000,D4-Blue Collar Unskilled,8,4
8010,D1-Production Specialists,8,4
8030,D1-Production Specialists,8,4
8040,D1-Production Specialists,8,4
8060,D1-Production Specialists,8,4
8100,D1-Production Specialists,8,4
8130,D1-Production Specialists,8,4
8140,D1-Production Specialists,8,4
8150,D1-Production Specialists,8,4
8200,D4-Blue Collar Unskilled,8,4
8210,D1-Production Specialists,8,4
8220,D1-Production Specialists,8,4
8230,D1-Production Specialists,8,4
8240,D1-Production Specialists,8,4
8250,D1-Production Specialists,8,4
8255,D1-Production Specialists,8,4
8256,D1-Production Specialists,8,4
8260,D1-Production Specialists,8,4
8300,D4-Blue Collar Unskilled,8,4
8310,D4-Blue Collar Unskilled,8,4
8320,D4-Blue Collar Unskilled,8,4
8330,D4-Blue Collar Unskilled,8,4
8340,D4-Blue Collar Unskilled,8,4
8350,D4-Blue Collar Unskilled,8,4
8400,D4-Blue Collar Unskilled,8,4
8410,D4-Blue Collar Unskilled,8,4
8420,D4-Blue Collar Unskilled,8,4
8450,D4-Blue Collar Unskilled,8,4
8460,D4-Blue Collar Unskilled,8,4
8500,D1-Production Specialists,8,4
8510,D4-Blue Collar Unskilled,8,4
8530,D4-Blue Collar Unskilled,8,4
8540,D4-Blue Collar Unskilled,8,4
8550,D1-Production Specialists,8,4
8600,D1-Production Specialists,8,4
8610,D1-Production Specialists,8,4
8620,D1-Production Specialists,8,4
8630,D1-Production Specialists,8,4
8640,D1-Production Specialists,8,4
8650,D4-Blue Collar Unskilled,8,4
8710,D4-Blue Collar Unskilled,8,4
8720,D1-Production Specialists,8,4
8730,D1-Production Specialists,8,4
8740,D1-Production Specialists,8,4
8750,D1-Production Specialists,8,4
8760,D1-Production Specialists,8,4
8800,D4-Blue Collar Unskilled,8,4
8810,D4-Blue Collar Unskilled,8,4
8830,D1-Production Specialists,8,4
8850,D4-Blue Collar Unskilled,8,4
8860,D4-Blue Collar Unskilled,8,4
8910,D1-Production Specialists,8,4
8920,D4-Blue Collar Unskilled,8,4
8930,D1-Production Specialists,8,4
8940,D1-Production Specialists,8,4
8950,D4-Blue Collar Unskilled,8,4
8960,D4-Blue Collar Unskilled,8,4
8965,D4-Blue Collar Unskilled,8,4
9000,D3-ProtectTrans Specialists,8,2
9030,D3-ProtectTrans Specialists,8,2
9040,D3-ProtectTrans Specialists,8,2
9050,D3-ProtectTrans Specialists,8,5
9110,D3-ProtectTrans Specialists,8,5
9120,D3-ProtectTrans Specialists,8,5
9130,D3-ProtectTrans Specialists,8,5
9140,D3-ProtectTrans Specialists,8,5
9150,D3-ProtectTrans Specialists,8,5
9200,D3-ProtectTrans Specialists,8,5
