MorU,Activity,sctg2,Coefficient
U,ServiceF,37,0.00077
U,PublicF,37,0.21838
U,hhold,37,0.05844
U,ManufF,37,0.10093
U,AgforF,37,0.00154
U,TrawhseF,37,0.08711
U,WhlsaleF,37,0.00011
U,ConstrF,38,0.00038
U,UtilF,38,0.004
U,RetailF,38,0.00353
U,Exports,38,0.39778
U,ServiceF,38,0.17411
U,PublicF,38,0.14463
U,hhold,38,0.18602
U,ManufF,38,0.08867
U,AgforF,38,0.00017
U,TrawhseF,38,4e-04
U,WhlsaleF,38,0.00032
U,ConstrF,39,0.12413
U,UtilF,39,0.00226
U,RetailF,39,0.01234
U,Exports,39,0.31718
U,ServiceF,39,0.0215
U,PublicF,39,0.04743
U,hhold,39,0.4205
U,ManufF,39,0.05049
U,AgforF,39,0.00073
U,TrawhseF,39,0.00017
U,WhlsaleF,39,0.00325
U,ConstrF,40,0.01132
U,UtilF,40,0.00608
U,RetailF,40,0.01715
U,Exports,40,0.24844
U,ServiceF,40,0.06683
U,PublicF,40,0.08903
U,hhold,40,0.47272
U,ManufF,40,0.05263
U,AgforF,40,0.00316
U,TrawhseF,40,0.01664
U,WhlsaleF,40,0.016
U,Exports,41,0.5246
U,ManufF,41,0.4754
