dms_orig,dms_dest,description,state
#------------------------------------------------------+
# Alaska (20) to and from...                           |
#------------------------------------------------------+
419,441,Rhode Island,RI
419,451,Charleston-North Charleston-Summerville,SC
419,452,Greenville-Spartanburg-Anderson,SC
419,459,Remainder of South Carolina,SC
419,460,South Dakota,SD
419,471,Memphis,TN
419,472,Nashville-Davidson-Murfreesboro,TN
419,473,Knoxville-Morristown-Sevierville,TN
419,479,Remainder of Tennessee,TN
419,481,Austin-Round Rock,TX
419,482,Beaumont-Port Arthur,TX
419,483,Corpus Christi-Kingsville-Alice,TX
419,484,Dallas-Fort Worth,TX
419,485,El Paso,TX 
419,486,Houston-The Woodlands,TX
419,487,Laredo,TX
419,488,San Antonio-New Braunfels,TX
419,489,Remainder of Texas,TX
419,491,Salt Lake City-Provo-Orem,UT
419,499,Remainder of Utah,UT 
419,500,Vermont,VT 
419,511,Richmond,VA
419,512,Virginia Beach-Norfolk,VA
419,513,Arlington-Alexandria,VA
419,519,Remainder of Virginia,VA
419,540,West Virginia,WV
419,551,Milwaukee-Racine-Waukesha,WI
419,559,Remainder of Wisconsin,WI
419,560,Wyoming,WY
#------------------------------------------------------+
# Seattle WA (531) to and from                         |
#------------------------------------------------------+
531,11,Birmingham-Hoover-Talladega,AL
531,12,Mobile-Daphne-Fairhope,AL
531,19,Remainder of Alabama,AL
531,41,Phoenix-Mesa-Glendale,AZ
531,42,Tucson-Nogales,AZ
531,49,Remainder of Arizona,AZ
531,50,Arkansas,AR
531,81,Denver-Aurora,CO
531,89,Remainder of Colorado,CO
531,91,Hartford-West Hartford-East Hartford,CT
531,92,New York-Newark,CT
531,99,Remainder of Connecticut,CT
531,101,Philadelphia-Reading-Camden,DE
531,109,Remainder of Delaware,DE
531,111,Washington,DC
531,121,Jacksonville-Palatka,FL
531,122,Miami-Fort Lauderdale-Port St. Lucie,FL
531,123,Orlando-Deltona-Daytona Beach,FL
531,124,Tampa-St. Petersburg-Clearwater,FL
531,129,Remainder of Florida,FL
531,131,Atlanta-Athens-Clarke County-Sandy Springs,GA
531,132,Savannah-Hinesville-Statesboro,GA
531,139,Remainder of Georgia,GA
531,151,Honolulu,HI
531,159,Remainder of Hawaii,HI
531,160,Idaho,ID
